feedback_id,submitted_at,channel,region,plan,severity,text,audited_requirement_id
FB-0001,2026-08-16,community,MY,individual,2,Music keeps buffering on 4G where I live; a data saver would help. This would make the app much more useful.,
FB-0002,2026-01-24,support_chat,DE,individual,5,Streaming should automatically use less data when signal quality drops. Please prioritize this.,
FB-0003,2026-08-03,community,GB,family,4,I need an option that reduces bitrate when the network is weak. This would make the app much more useful.,
FB-0004,2026-07-20,support_chat,TH,individual,3,Please add a low data setting because my connection is slow on the train. This is important enough to keep me subscribed.,
FB-0005,2026-07-16,in_app,PH,duo,1,Please add a low data setting because my connection is slow on the train. I keep running into this problem.,
FB-0006,2026-06-24,app_store,ID,student,2,Please add a low data setting because my connection is slow on the train. Please prioritize this.,
FB-0007,2026-07-07,app_store,JP,duo,3,I need an option that reduces bitrate when the network is weak.,
FB-0008,2026-03-03,app_store,IN,family,1,Streaming should automatically use less data when signal quality drops. This is important enough to keep me subscribed.,REQ-301
FB-0009,2026-02-02,community,TH,free,4,I need an option that reduces bitrate when the network is weak.,
FB-0010,2026-08-01,email,IN,individual,3,Streaming should automatically use less data when signal quality drops. I would use this immediately.,REQ-301
FB-0011,2026-02-22,in_app,BR,student,3,I need an option that reduces bitrate when the network is weak. Please prioritize this.,
FB-0012,2026-08-12,support_chat,TH,individual,3,I commute on mobile data and streaming uses too much of my monthly allowance. I would use this immediately.,
FB-0013,2026-04-26,support_chat,GB,family,2,Music keeps buffering on 4G where I live; a data saver would help. I would use this immediately.,REQ-301
FB-0014,2026-07-27,community,ID,family,3,Please add a low data setting because my connection is slow on the train. Please prioritize this.,
FB-0015,2026-06-15,support_chat,US,student,4,Streaming should automatically use less data when signal quality drops.,
FB-0016,2026-01-08,email,SG,student,4,I need an option that reduces bitrate when the network is weak. This is important enough to keep me subscribed.,
FB-0017,2026-06-10,in_app,BR,student,3,I need an option that reduces bitrate when the network is weak.,
FB-0018,2026-05-14,support_chat,PH,family,4,I commute on mobile data and streaming uses too much of my monthly allowance. This is important enough to keep me subscribed.,
FB-0019,2026-02-20,community,GB,individual,4,I need an option that reduces bitrate when the network is weak. This is important enough to keep me subscribed.,REQ-301
FB-0020,2026-07-28,community,ID,duo,3,Music keeps buffering on 4G where I live; a data saver would help.,REQ-301
FB-0021,2026-06-19,app_store,US,student,2,I need an option that reduces bitrate when the network is weak.,REQ-301
FB-0022,2026-05-17,in_app,PH,free,3,Streaming should automatically use less data when signal quality drops.,REQ-301
FB-0023,2026-07-08,in_app,ID,individual,4,I need an option that reduces bitrate when the network is weak.,REQ-301
FB-0024,2026-07-02,in_app,SG,individual,2,I commute on mobile data and streaming uses too much of my monthly allowance.,
FB-0025,2026-05-11,app_store,IN,free,3,I need an option that reduces bitrate when the network is weak.,
FB-0026,2026-07-17,in_app,SG,family,3,I need an option that reduces bitrate when the network is weak. Please prioritize this.,REQ-301
FB-0027,2026-02-06,email,BR,student,3,Streaming should automatically use less data when signal quality drops. Please prioritize this.,REQ-301
FB-0028,2026-08-10,community,GB,free,3,I need an option that reduces bitrate when the network is weak.,REQ-301
FB-0029,2026-07-08,app_store,JP,student,3,I need an option that reduces bitrate when the network is weak. I would use this immediately.,
FB-0030,2026-08-23,support_chat,MX,individual,2,Music keeps buffering on 4G where I live; a data saver would help. I would use this immediately.,
FB-0031,2026-04-16,support_chat,MY,student,3,Music keeps buffering on 4G where I live; a data saver would help. This has been missing for a long time.,
FB-0032,2026-08-03,app_store,DE,duo,4,Please add a low data setting because my connection is slow on the train. Please prioritize this.,
FB-0033,2026-06-07,community,TH,student,2,I commute on mobile data and streaming uses too much of my monthly allowance.,
FB-0034,2026-08-18,support_chat,DE,individual,4,Please add a low data setting because my connection is slow on the train.,
FB-0035,2026-06-20,email,IN,duo,3,I commute on mobile data and streaming uses too much of my monthly allowance. I keep running into this problem.,
FB-0036,2026-03-11,app_store,MX,student,3,I commute on mobile data and streaming uses too much of my monthly allowance. I would use this immediately.,REQ-301
FB-0037,2026-04-28,email,JP,free,4,Please add a low data setting because my connection is slow on the train.,
FB-0038,2026-07-06,community,MX,individual,3,Streaming should automatically use less data when signal quality drops.,REQ-301
FB-0039,2026-02-07,email,US,family,3,I need an option that reduces bitrate when the network is weak.,
FB-0040,2026-06-06,app_store,DE,family,4,Music keeps buffering on 4G where I live; a data saver would help. Please prioritize this.,
FB-0041,2026-07-05,support_chat,ID,individual,3,I need an option that reduces bitrate when the network is weak. I keep running into this problem.,
FB-0042,2026-01-25,community,PH,student,2,I commute on mobile data and streaming uses too much of my monthly allowance. This has been missing for a long time.,
FB-0043,2026-05-02,app_store,JP,individual,3,Music keeps buffering on 4G where I live; a data saver would help. I keep running into this problem.,
FB-0044,2026-06-20,email,GB,family,1,Streaming should automatically use less data when signal quality drops. This has been missing for a long time.,
FB-0045,2026-07-17,in_app,GB,family,5,I commute on mobile data and streaming uses too much of my monthly allowance.,REQ-301
FB-0046,2026-03-04,app_store,IN,individual,4,Please add a low data setting because my connection is slow on the train. This has been missing for a long time.,
FB-0047,2026-04-24,community,MX,free,3,I commute on mobile data and streaming uses too much of my monthly allowance. I would use this immediately.,
FB-0048,2026-02-17,email,MX,family,4,I commute on mobile data and streaming uses too much of my monthly allowance.,
FB-0049,2026-05-08,community,GB,student,3,Music keeps buffering on 4G where I live; a data saver would help. Please prioritize this.,
FB-0050,2026-02-14,in_app,MY,family,1,Please add a low data setting because my connection is slow on the train.,
FB-0051,2026-02-09,community,GB,duo,2,Please add a low data setting because my connection is slow on the train. I would use this immediately.,
FB-0052,2026-07-27,email,DE,student,2,Streaming should automatically use less data when signal quality drops.,
FB-0053,2026-04-27,support_chat,SG,family,2,Streaming should automatically use less data when signal quality drops. This is important enough to keep me subscribed.,
FB-0054,2026-03-03,app_store,US,student,3,Please add a low data setting because my connection is slow on the train. I would use this immediately.,REQ-301
FB-0055,2026-04-09,email,BR,free,4,I commute on mobile data and streaming uses too much of my monthly allowance. Please prioritize this.,REQ-301
FB-0056,2026-05-07,email,DE,family,5,I need an option that reduces bitrate when the network is weak.,REQ-301
FB-0057,2026-02-13,community,MY,free,5,Streaming should automatically use less data when signal quality drops. Please prioritize this.,
FB-0058,2026-01-20,community,TH,individual,2,Streaming should automatically use less data when signal quality drops. This is important enough to keep me subscribed.,
FB-0059,2026-03-25,app_store,TH,duo,2,Music keeps buffering on 4G where I live; a data saver would help. This has been missing for a long time.,
FB-0060,2026-07-13,email,PH,duo,3,I need an option that reduces bitrate when the network is weak. This is important enough to keep me subscribed.,
FB-0061,2026-03-16,app_store,JP,student,3,I commute on mobile data and streaming uses too much of my monthly allowance. Please prioritize this.,
FB-0062,2026-01-26,support_chat,JP,family,2,Streaming should automatically use less data when signal quality drops. This would make the app much more useful.,
FB-0063,2026-05-21,community,PH,duo,3,I commute on mobile data and streaming uses too much of my monthly allowance. This is important enough to keep me subscribed.,
FB-0064,2026-07-19,community,DE,free,2,I need an option that reduces bitrate when the network is weak.,REQ-301
FB-0065,2026-05-26,in_app,MY,free,4,I need an option that reduces bitrate when the network is weak. I keep running into this problem.,REQ-301
FB-0066,2026-06-26,support_chat,DE,family,2,I commute on mobile data and streaming uses too much of my monthly allowance. I keep running into this problem.,
FB-0067,2026-05-27,app_store,SG,individual,2,I need an option that reduces bitrate when the network is weak.,
FB-0068,2026-08-06,community,SG,individual,2,Music keeps buffering on 4G where I live; a data saver would help.,
FB-0069,2026-07-10,community,TH,duo,2,I commute on mobile data and streaming uses too much of my monthly allowance.,
FB-0070,2026-07-20,in_app,SG,free,4,Music keeps buffering on 4G where I live; a data saver would help. Please prioritize this.,
FB-0071,2026-06-04,email,TH,free,4,I need an option that reduces bitrate when the network is weak.,
FB-0072,2026-08-18,in_app,GB,student,4,I commute on mobile data and streaming uses too much of my monthly allowance.,
FB-0073,2026-05-05,app_store,MX,individual,4,Music keeps buffering on 4G where I live; a data saver would help.,
FB-0074,2026-01-20,email,JP,free,3,I need an option that reduces bitrate when the network is weak. This is important enough to keep me subscribed.,
FB-0075,2026-01-18,support_chat,DE,student,4,I need an option that reduces bitrate when the network is weak. This would make the app much more useful.,
FB-0076,2026-03-26,support_chat,DE,individual,4,Streaming should automatically use less data when signal quality drops. This has been missing for a long time.,REQ-301
FB-0077,2026-06-03,email,JP,family,3,Streaming should automatically use less data when signal quality drops. This would make the app much more useful.,
FB-0078,2026-03-27,email,TH,duo,3,Streaming should automatically use less data when signal quality drops. This would make the app much more useful.,
FB-0079,2026-03-13,app_store,GB,individual,3,Please add a low data setting because my connection is slow on the train. Please prioritize this.,
FB-0080,2026-02-18,support_chat,TH,family,3,I need an option that reduces bitrate when the network is weak. This is important enough to keep me subscribed.,REQ-301
FB-0081,2026-03-24,app_store,TH,free,3,Music keeps buffering on 4G where I live; a data saver would help. This has been missing for a long time.,
FB-0082,2026-08-10,support_chat,IN,individual,2,Music keeps buffering on 4G where I live; a data saver would help. This has been missing for a long time.,REQ-301
