historical_id,quarter,summary,feedback_mentions_90d,affected_mau,support_tickets_90d,mean_feedback_severity,engineering_days,dependency_count,premium_share,churn_risk_share,accessibility_or_compliance,incident_linked_count,prerequisite_ready,decision
HIST-0001,2023-Q2,Add creator analytics surface,26,174040,72,2.87,31,0,0.525,0.439,0,0,0,REJECTED
HIST-0002,2023-Q2,Improve offline playback,359,671071,88,2.24,44,3,0.740,0.245,0,2,1,REJECTED
HIST-0003,2023-Q2,Add social listening capability,769,326449,316,2.15,34,3,0.773,0.106,0,2,1,DEFERRED
HIST-0004,2023-Q1,Upgrade account safety controls,35,449141,67,3.50,33,2,0.125,0.153,0,1,1,REJECTED
HIST-0005,2023-Q1,Improve search relevance,31,263042,165,3.14,6,3,0.247,0.390,0,1,1,REJECTED
HIST-0006,2023-Q3,Add accessibility support to lyrics,150,60016,316,1.55,7,2,0.625,0.112,0,1,1,REJECTED
HIST-0007,2023-Q4,Add profile customization,240,855714,74,3.57,53,2,0.315,0.123,0,0,1,REJECTED
HIST-0008,2023-Q1,Reduce mobile data consumption,32,839591,18,3.05,45,4,0.450,0.465,0,0,1,REJECTED
HIST-0009,2023-Q2,Upgrade account safety controls,122,102499,109,2.33,34,1,0.533,0.010,0,0,1,REJECTED
HIST-0010,2023-Q1,Reduce mobile data consumption,834,282457,20,1.89,35,3,0.384,0.156,0,8,1,DEFERRED
HIST-0011,2023-Q2,Add premium audio capability,30,320168,49,1.93,35,3,0.716,0.010,1,0,1,REJECTED
HIST-0012,2023-Q4,Improve network playback reliability,340,537785,26,1.91,48,1,0.541,0.431,0,7,1,DEFERRED
HIST-0013,2023-Q3,Add premium audio capability,715,560166,74,1.34,23,0,0.689,0.130,0,8,1,DEFERRED
HIST-0014,2023-Q2,Improve queue management,43,559594,110,1.03,38,4,0.073,0.230,0,1,1,REJECTED
HIST-0015,2023-Q1,Improve podcast discovery,77,216521,35,1.92,14,2,0.410,0.303,0,1,1,REJECTED
HIST-0016,2023-Q3,Improve search relevance,129,496963,66,4.32,45,4,0.575,0.368,0,0,0,REJECTED
HIST-0017,2023-Q2,Add creator analytics surface,94,741066,59,1.39,42,3,0.679,0.190,0,0,0,REJECTED
HIST-0018,2023-Q4,Add AI-assisted content discovery,358,613428,21,2.43,11,2,0.445,0.373,1,2,1,DEFERRED
HIST-0019,2023-Q2,Add AI-assisted content discovery,86,596523,65,2.12,47,4,0.697,0.139,0,0,1,REJECTED
HIST-0020,2023-Q1,Improve network playback reliability,23,158953,35,2.67,17,0,0.653,0.010,0,0,0,REJECTED
HIST-0021,2023-Q3,Modernize media delivery pipeline,101,191854,176,2.66,41,3,0.031,0.162,0,10,1,DEFERRED
HIST-0022,2023-Q2,Improve podcast discovery,176,458425,51,2.41,46,0,0.550,0.194,0,6,0,REJECTED
HIST-0023,2023-Q4,Improve network playback reliability,52,277856,91,3.56,21,1,0.165,0.241,0,1,1,REJECTED
HIST-0024,2023-Q2,Improve cross-device playback,44,220065,94,1.16,17,3,0.339,0.148,0,8,0,REJECTED
HIST-0025,2023-Q4,Improve podcast discovery,70,119477,39,2.23,20,1,0.329,0.272,0,1,1,REJECTED
HIST-0026,2023-Q2,Add language support,188,741465,79,3.38,39,3,0.423,0.349,0,1,1,REJECTED
HIST-0027,2023-Q2,Add creator analytics surface,822,120081,122,3.79,12,3,0.227,0.156,0,0,1,REJECTED
